City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
221,sovetskiy,RU,2023-10-30 06:12:32,69.4865,88.3972,98,94,-0.5259999999999891,2.43
222,khovd,AF,2023-10-30 06:12:33,32.25,67.25,0,18,71.6,3.95
223,minas de marcona,RU,2023-10-30 06:11:46,58.2,68.2667,99,70,24.872000000000035,3.58
224,arno,UY,2023-10-30 06:12:34,-34.1667,-53.8333,84,97,62.29399999999997,1.69
225,anastasiyevskaya,RU,2023-10-30 06:12:34,57.3206,107.0881,99,58,21.23599999999997,1.12
226,happy valley-goose bay,MG,2023-10-30 06:12:34,-18.95,49.1,10,59,84.77599999999998,5.1
227,la ronge,MV,2023-10-30 06:12:34,6.6221,73.07,100,76,80.07799999999997,2.14
228,beatrice,NZ,2023-10-30 06:12:35,-35.2268,173.9474,98,95,63.17599999999999,0.45
229,chui,KP,2023-10-30 06:12:35,42.1092,129.7,75,68,54.68000000000004,1.13
230,male,US,2023-10-30 06:12:35,31.3224,-92.4343,100,89,59.14399999999998,5.66
231,badger,CD,2023-10-30 06:12:35,-5.9475,29.1947,68,58,81.98599999999996,3.15
232,vuktyl,PF,2023-10-30 06:12:36,-16.7333,-151.4333,1,79,79.32200000000003,7.49
233,pacific grove,HN,2023-10-30 06:12:36,16.3244,-86.5366,35,67,80.924,1.29
234,yorosso,PY,2023-10-30 06:12:36,-22.3667,-59.8167,66,47,85.65800000000002,5.26
235,nafplio,BR,2023-10-30 06:12:36,-15.5961,-56.0967,0,74,80.79800000000003,3.09
236,guiria,JM,2023-10-30 06:00:33,17.997,-76.7936,20,87,81.82400000000001,3.09
237,vega de alatorre,BR,2023-10-30 06:12:37,-22.9661,-42.0278,75,94,75.326,2.57
238,puerto san carlos,RU,2023-10-30 06:12:37,65.85,74.4859,11,94,9.356000000000027,1.46
239,cabedelo,PE,2023-10-30 06:12:38,-16.6228,-72.7111,57,89,65.51600000000002,3.93
240,agat village,MN,2023-10-30 06:12:38,48.0056,91.6419,42,54,40.44199999999999,1.18
241,bredasdorp,CA,2023-10-30 06:12:38,55.1001,-105.2842,40,86,19.885999999999967,4.12
242,shakawe,PA,2023-10-30 06:12:38,9.3333,-82.25,100,79,72.26600000000002,1.21
243,kattivakkam,RU,2023-10-30 06:11:28,46.0497,38.1747,50,48,65.48000000000005,3.29
244,lycksele,RU,2023-10-30 06:12:39,53.1873,158.3805,75,100,39.07400000000001,1
245,al ghayzah,US,2023-10-30 06:10:01,47.0166,-113.8009,8,88,10.111999999999956,0.76
246,hadibu,CD,2023-10-30 06:10:06,0.15,29.2833,20,44,78.15199999999999,1.82
247,chany,IS,2023-10-30 06:12:40,63.9331,-20.9971,53,74,30.308000000000003,3.13
248,severo-yeniseyskiy,SD,2023-10-30 06:12:40,19.1667,30.4833,0,17,99.91400000000003,5.01
249,ar rutbah,ES,2023-10-30 06:12:40,39.8138,-0.4521,100,55,69.476,7.03
250,aasiaat,CX,2023-10-30 06:12:40,-10.4217,105.6791,75,83,80.54600000000005,4.63
251,gadzhiyevo,ZA,2023-10-30 06:12:41,-33.0153,27.9116,80,50,64.00399999999996,6.38
252,cherdyn',PG,2023-10-30 06:12:41,-7.9631,145.7785,100,92,78.29600000000005,3.08
253,remire-montjoly,MM,2023-10-30 06:11:38,22.5667,95.7,62,71,83.33599999999997,2.66
254,lompoc,CA,2023-10-30 06:12:40,48.4001,-89.3168,75,86,21.380000000000038,1.54
255,sao joao da barra,TK,2023-10-30 06:12:42,-9.3852,-171.2468,21,74,84.21799999999999,7.18
256,daru,MZ,2023-10-30 06:07:52,-12.974,40.5178,59,70,82.59800000000003,4.9
257,chishmy,BR,2023-10-30 06:12:43,-8.0736,-37.2644,9,63,72.44600000000005,4.5
258,manacapuru,MR,2023-10-30 06:12:43,20.5169,-13.0499,1,11,93.81199999999995,0.58
259,nogliki,SD,2023-10-30 06:12:43,13.6017,26.6876,43,14,95.576,6.91
260,bodaybo,IT,2023-10-30 06:12:44,45.5459,11.2796,100,85,65.858,0.89
261,salavan,NO,2023-10-30 06:12:44,69.9689,23.2717,75,84,22.532000000000018,0
262,tecolots,ID,2023-10-30 06:12:44,0.9167,104.45,38,66,86.30600000000004,2.58
263,starkville,MN,2023-10-30 06:12:44,47.3194,110.6556,97,95,29.35399999999995,2.76
264,hermanus,LY,2023-10-30 06:12:45,25.9155,13.9184,0,21,84.07400000000001,4.72
265,sergeyevka,MN,2023-10-30 06:12:45,43.5708,104.425,57,33,51.63800000000005,7.17
266,kitimat,CN,2023-10-30 06:12:45,43.9667,116.0333,100,27,57.57799999999996,8.67
267,al kharijah,RU,2023-10-30 06:12:45,57.7053,55.5894,100,94,30.182000000000016,1.35
268,tommot,KZ,2023-10-30 06:12:46,45.4878,64.0781,100,51,60.76400000000004,5.62
269,port isabel,CA,2023-10-30 06:12:46,49.9168,-74.3659,100,92,28.291999999999994,2.35
270,dumai,CL,2023-10-30 06:12:46,-37.6167,-73.65,93,59,46.79600000000005,1.64
271,usinsk,SO,2023-10-30 06:12:46,11.1595,48.1967,57,71,84.75800000000001,5.12
272,acarau,NZ,2023-10-30 06:12:47,-40.9167,175.0167,100,88,58.11799999999998,3.07
273,acheng,CN,2023-10-30 06:12:47,49.45,117.7,100,25,31.946000000000048,3.53
274,bay roberts,MV,2023-10-30 06:12:47,-0.6,73.0833,64,79,81.46400000000003,6.01
275,galle,US,2023-10-30 06:10:41,42.097,-79.2353,100,99,44.29399999999997,3.6
276,kulhudhuffushi,ES,2023-10-30 06:12:48,43.6623,-7.5934,65,79,60.51199999999996,8.48
277,klyuchi,RS,2023-10-30 06:12:48,44.804,20.4651,0,48,72.608,3.6
278,mirny,IQ,2023-10-30 06:12:48,33.0381,40.2848,100,32,79.25,2.08
279,tanout,AU,2023-10-30 06:12:48,-42.7826,147.0587,66,84,53.366000000000014,1.92
280,dongola,RU,2023-10-30 06:12:49,63.0128,112.4714,100,95,9.5,2.7
281,lebu,PT,2023-10-30 06:12:49,32.65,-17.0667,84,73,73.4,2.45
282,antofagasta,ID,2023-10-30 06:12:50,-0.619,100.12,64,84,80.924,2.43
283,olinda,MG,2023-10-30 06:12:50,-23.35,43.6667,7,56,82.09399999999997,7.23
284,ryotsu-minato,ET,2023-10-30 06:12:50,10.7167,39.8667,48,50,77.558,3.38
285,vorkuta,GB,2023-10-30 06:11:39,51.7522,-1.256,0,86,57.25399999999995,3.6
286,malango,US,2023-10-30 06:12:50,19.5933,-154.9731,75,96,73.30999999999997,3.09
